INSERT INTO `zhiyezhuang_tagindex` VALUES('1','唐山工作服定做','2','2023','160','7','99','1341824530','1339732001','1261761377');
INSERT INTO `zhiyezhuang_tagindex` VALUES('445','安全帽','8','2','2','0','0','1340862594','1340862594','1329037584');
INSERT INTO `zhiyezhuang_tagindex` VALUES('446','服装厂','0','2','5','0','1','1339730322','1337662686','1341182814');
INSERT INTO `zhiyezhuang_tagindex` VALUES('447','东北','0','1','1','0','0','1335263459','1335263459','1329039259');
INSERT INTO `zhiyezhuang_tagindex` VALUES('448','雪莱','0','1','1','0','0','1335263538','1335263538','1329039259');
INSERT INTO `zhiyezhuang_tagindex` VALUES('449','设计','0','9','5','0','3','1340362780','1338506579','1337658788');
INSERT INTO `zhiyezhuang_tagindex` VALUES('450','路易','0','1','1','0','0','1337483919','1337483919','1329039259');
INSERT INTO `zhiyezhuang_tagindex` VALUES('451','冬季','0','6','5','0','0','1341775024','1341775024','1330493699');
INSERT INTO `zhiyezhuang_tagindex` VALUES('452','羊绒','0','2','1','0','1','1338622232','1337565657','1329039334');
INSERT INTO `zhiyezhuang_tagindex` VALUES('453','工服','0','6','6','1','1','1340359071','1340359071','1330490835');
INSERT INTO `zhiyezhuang_tagindex` VALUES('454','679689','0','3','1','1','2','1339126542','1337403662','1329050653');
INSERT INTO `zhiyezhuang_tagindex` VALUES('455','工厂','0','4','3','0','0','1339707599','1339707599','1330058379');
INSERT INTO `zhiyezhuang_tagindex` VALUES('456','员','0','2','1','0','1','1337605156','1335521434','1329050653');
INSERT INTO `zhiyezhuang_tagindex` VALUES('457','上海工','0','3','2','1','1','1339117109','1339117109','1329918650');
INSERT INTO `zhiyezhuang_tagindex` VALUES('458','北京防静电工作椅','0','1','1','0','0','1337605167','1337605167','1329050833');
INSERT INTO `zhiyezhuang_tagindex` VALUES('459','河北防静电工作椅','0','2','1','0','1','1338505950','1337565659','1329050833');
INSERT INTO `zhiyezhuang_tagindex` VALUES('460','天津防静电','0','3','1','0','1','1340871851','1339816777','1329050833');
INSERT INTO `zhiyezhuang_tagindex` VALUES('461','净化设备','0','3','1','0','2','1339730882','1338138489','1329050833');
INSERT INTO `zhiyezhuang_tagindex` VALUES('462','酒店服','0','2','1','0','0','1332942880','1332942880','1329050858');
INSERT INTO `zhiyezhuang_tagindex` VALUES('463','定','0','6','1','0','0','1341645118','1341645118','1329050858');
INSERT INTO `zhiyezhuang_tagindex` VALUES('464','职业装厂','0','1','2','0','0','1337551299','1337551299','1329917881');
INSERT INTO `zhiyezhuang_tagindex` VALUES('465','顺雷','0','10','1','0','0','1341878376','1341878376','1329050927');
INSERT INTO `zhiyezhuang_tagindex` VALUES('466','网购','0','3','2','1','2','1337495920','1335067364','1329917969');
INSERT INTO `zhiyezhuang_tagindex` VALUES('467','信息','0','5','3','0','1','1339556525','1337938683','1330435598');
INSERT INTO `zhiyezhuang_tagindex` VALUES('468','上海西服公司','0','1','1','0','0','1337565675','1337565675','1329051033');
INSERT INTO `zhiyezhuang_tagindex` VALUES('469','上海西服厂家','0','1','1','0','0','1335263468','1335263468','1329051033');
INSERT INTO `zhiyezhuang_tagindex` VALUES('470','职业','0','2','11','0','1','1337749145','1335521543','1341538427');
INSERT INTO `zhiyezhuang_tagindex` VALUES('471','上海武','0','2','1','0','0','1340864392','1340864392','1329063607');
INSERT INTO `zhiyezhuang_tagindex` VALUES('472','上海米琪服饰有限公司','0','1','1','0','0','1337403477','1337403477','1329063678');
INSERT INTO `zhiyezhuang_tagindex` VALUES('473','立水桥','0','1','1','0','0','1337648408','1337648408','1329063735');
INSERT INTO `zhiyezhuang_tagindex` VALUES('474','上海武轩服饰有限公司','0','3','1','0','1','1341643435','1340880333','1329194428');
INSERT INTO `zhiyezhuang_tagindex` VALUES('475','北京羽绒服定做','0','4','1','0','1','1339707468','1337565728','1329194556');
INSERT INTO `zhiyezhuang_tagindex` VALUES('476','棉服定做','0','5','1','0','0','1341925614','1341925614','1329194556');
INSERT INTO `zhiyezhuang_tagindex` VALUES('477','工作服厂家','0','10','4','1','2','1341645549','1340953470','1330490835');
INSERT INTO `zhiyezhuang_tagindex` VALUES('478','T恤衫厂家','0','5','1','0','0','1340697473','1340697473','1329194556');
INSERT INTO `zhiyezhuang_tagindex` VALUES('479','北京工作服','0','11','9','1','2','1341556148','1340520537','1330494329');
INSERT INTO `zhiyezhuang_tagindex` VALUES('480','装做','0','8','1','1','1','1341476369','1341476369','1329194602');
INSERT INTO `zhiyezhuang_tagindex` VALUES('481','大兴区','0','3','1','1','2','1338621613','1337764410','1329194602');
INSERT INTO `zhiyezhuang_tagindex` VALUES('482','哪里','0','9','6','2','3','1341635302','1340362208','1330494380');
INSERT INTO `zhiyezhuang_tagindex` VALUES('483','饰品','0','5','1','1','1','1339707842','1339707842','1329194687');
INSERT INTO `zhiyezhuang_tagindex` VALUES('484','鄂尔多斯','0','3','3','0','0','1341645185','1341645185','1330493801');
INSERT INTO `zhiyezhuang_tagindex` VALUES('485','北京招聘职业装总经理','0','6','1','1','1','1341626704','1341626704','1329198108');
INSERT INTO `zhiyezhuang_tagindex` VALUES('486','古谛国际有限公司','0','6','1','0','3','1340954351','1338858459','1329198108');
INSERT INTO `zhiyezhuang_tagindex` VALUES('487','供应空姐服','0','2','1','0','0','1340697268','1340697268','1329198154');
INSERT INTO `zhiyezhuang_tagindex` VALUES('488','上海空姐职业装','0','3','1','0','0','1341916857','1341916857','1329198154');
INSERT INTO `zhiyezhuang_tagindex` VALUES('489','空姐制服厂家','0','3','1','0','2','1339116960','1337537025','1329198154');
INSERT INTO `zhiyezhuang_tagindex` VALUES('490','空姐服订做(图)','0','0','1','0','0','1329198154','1329198154','1329198154');
INSERT INTO `zhiyezhuang_tagindex` VALUES('491','西装-','0','0','1','0','0','1329198258','1329198258','1329198258');
INSERT INTO `zhiyezhuang_tagindex` VALUES('492','定做上海男士西服','0','3','1','0','0','1340697231','1340697231','1329198258');
INSERT INTO `zhiyezhuang_tagindex` VALUES('493','峰会','0','10','2','0','0','1340264816','1340264816','1336174358');
INSERT INTO `zhiyezhuang_tagindex` VALUES('494','邀请函','0','1','1','0','0','1337648377','1337648377','1329198305');
INSERT INTO `zhiyezhuang_tagindex` VALUES('495','企业家','0','3','1','1','2','1339707799','1337551387','1329198305');
INSERT INTO `zhiyezhuang_tagindex` VALUES('496','2003','0','3','1','0','0','1340264788','1340264788','1329198305');
INSERT INTO `zhiyezhuang_tagindex` VALUES('497','广东','0','2','1','0','0','1340697276','1340697276','1329198305');
INSERT INTO `zhiyezhuang_tagindex` VALUES('498','职业装设计总监简历','0','6','1','0','1','1340752546','1339707997','1329198406');
INSERT INTO `zhiyezhuang_tagindex` VALUES('499','北京工作服的制作工艺','0','2','1','0','1','1339707448','1337576324','1329198475');
INSERT INTO `zhiyezhuang_tagindex` VALUES('500','--','0','0','1','0','0','1329198475','1329198475','1329198475');
INSERT INTO `zhiyezhuang_tagindex` VALUES('501','T恤','0','8','4','0','0','1340888879','1340888879','1330057947');
INSERT INTO `zhiyezhuang_tagindex` VALUES('502','童装','0','5','1','0','0','1341800615','1341800615','1329198475');
INSERT INTO `zhiyezhuang_tagindex` VALUES('503','头花','0','9','1','0','0','1341132675','1341132675','1329198475');
INSERT INTO `zhiyezhuang_tagindex` VALUES('504','冬装','0','3','2','1','2','1338621665','1337921961','1330493699');
INSERT INTO `zhiyezhuang_tagindex` VALUES('505','高档','0','7','4','0','0','1341645506','1341645506','1340071690');
INSERT INTO `zhiyezhuang_tagindex` VALUES('506','杭州','0','6','1','0','1','1338621738','1337157496','1329198584');
INSERT INTO `zhiyezhuang_tagindex` VALUES('507','上海工装定做','0','7','1','1','2','1339117095','1337764632','1329198634');
INSERT INTO `zhiyezhuang_tagindex` VALUES('508','工','0','2','1','0','1','1338621722','1337484116','1329198634');
INSERT INTO `zhiyezhuang_tagindex` VALUES('509','时候','0','3','1','0','0','1338622099','1338622099','1329198670');
INSERT INTO `zhiyezhuang_tagindex` VALUES('510','你们','0','5','1','1','2','1338506300','1337662671','1329198670');
INSERT INTO `zhiyezhuang_tagindex` VALUES('511','转贴','0','3','1','1','1','1338622341','1338622341','1329198670');
INSERT INTO `zhiyezhuang_tagindex` VALUES('512','求购海淀北京职业装','0','2','1','0','1','1339117040','1337850021','1329198753');
INSERT INTO `zhiyezhuang_tagindex` VALUES('513','采购海淀','0','9','1','0','0','1341644715','1341644715','1329198753');
INSERT INTO `zhiyezhuang_tagindex` VALUES('514','韩版女','0','2','1','0','0','1340697283','1340697283','1329248409');
INSERT INTO `zhiyezhuang_tagindex` VALUES('515','男西装','0','5','2','0','0','1339116997','1339116997','1330056195');
INSERT INTO `zhiyezhuang_tagindex` VALUES('516','分公司','0','5','1','2','2','1340262838','1340262838','1329249767');
INSERT INTO `zhiyezhuang_tagindex` VALUES('517','集团','0','6','1','0','0','1341916780','1341916780','1329249767');
INSERT INTO `zhiyezhuang_tagindex` VALUES('518','江苏阳光','0','6','1','0','1','1339707691','1337488842','1329249767');
INSERT INTO `zhiyezhuang_tagindex` VALUES('519','晚装','0','4','1','0','0','1338622171','1338622171','1329249983');
INSERT INTO `zhiyezhuang_tagindex` VALUES('520','礼服','0','4','3','1','1','1339116964','1339116964','1331476804');
INSERT INTO `zhiyezhuang_tagindex` VALUES('521','明星','0','2','1','0','1','1338621865','1337576332','1329249983');
INSERT INTO `zhiyezhuang_tagindex` VALUES('522','挑选','0','8','1','1','1','1341366638','1341366638','1329250342');
INSERT INTO `zhiyezhuang_tagindex` VALUES('523','如何','0','5','2','0','1','1341643389','1340158569','1335270493');
INSERT INTO `zhiyezhuang_tagindex` VALUES('524','面试','0','2','2','0','0','1340697325','1340697325','1330012461');
INSERT INTO `zhiyezhuang_tagindex` VALUES('525','毕业','0','8','1','1','2','1339733418','1338621515','1329250342');
INSERT INTO `zhiyezhuang_tagindex` VALUES('526','快递','0','4','1','1','1','1338621822','1338621822','1329252455');
INSERT INTO `zhiyezhuang_tagindex` VALUES('527','报价','0','4','2','0','0','1339707438','1339707438','1333941474');
INSERT INTO `zhiyezhuang_tagindex` VALUES('528','修车','0','7','1','1','2','1338622220','1337403510','1329252455');
INSERT INTO `zhiyezhuang_tagindex` VALUES('529','工程服','0','9','6','0','1','1341916699','1340955329','1330491579');
INSERT INTO `zhiyezhuang_tagindex` VALUES('530','上','0','6','3','0','0','1341643511','1341643511','1330163929');
INSERT INTO `zhiyezhuang_tagindex` VALUES('531','望京','0','6','1','0','2','1341643663','1339707895','1329255056');
INSERT INTO `zhiyezhuang_tagindex` VALUES('532','鸿丝','0','2','1','0','1','1339116906','1337634048','1329255056');
INSERT INTO `zhiyezhuang_tagindex` VALUES('533','上海市','0','6','1','1','1','1341405023','1341405023','1329256933');
INSERT INTO `zhiyezhuang_tagindex` VALUES('534','夏季','0','5','3','1','1','1340325698','1340325698','1330492684');
INSERT INTO `zhiyezhuang_tagindex` VALUES('535','服，时装，职业装','0','4','1','0','0','1337364678','1337364678','1329268456');
INSERT INTO `zhiyezhuang_tagindex` VALUES('536','北京美容店工作服','0','3','1','0','1','1339707457','1337843779','1329268503');
INSERT INTO `zhiyezhuang_tagindex` VALUES('537','摄影室工作服','0','2','1','0','0','1339117133','1339117133','1329268503');
INSERT INTO `zhiyezhuang_tagindex` VALUES('538','化装品促','0','3','1','1','1','1339116910','1339116910','1329268503');
INSERT INTO `zhiyezhuang_tagindex` VALUES('539','产品供应','0','5','4','1','1','1339816313','1339816313','1330299669');
INSERT INTO `zhiyezhuang_tagindex` VALUES('540','北京康祺','0','5','2','0','0','1341916515','1341916515','1330053460');
INSERT INTO `zhiyezhuang_tagindex` VALUES('541','加盟','0','1','1','0','0','1335172542','1335172542','1329268564');
INSERT INTO `zhiyezhuang_tagindex` VALUES('542','商机','0','10','1','0','2','1340262838','1338622055','1329268564');
INSERT INTO `zhiyezhuang_tagindex` VALUES('543','商机网','0','6','1','0','2','1339117072','1338506539','1329268564');
INSERT INTO `zhiyezhuang_tagindex` VALUES('544','代理','0','3','1','0','0','1340264459','1340264459','1329268564');
INSERT INTO `zhiyezhuang_tagindex` VALUES('545','招商','0','3','2','0','2','1339732822','1338075455','1330340136');
INSERT INTO `zhiyezhuang_tagindex` VALUES('546','求购','0','3','2','0','0','1341643359','1341643359','1330492884');
INSERT INTO `zhiyezhuang_tagindex` VALUES('547','库存','0','6','1','1','1','1338621813','1338621813','1329268564');
INSERT INTO `zhiyezhuang_tagindex` VALUES('548','北京职业装','0','5','5','0','0','1340697191','1340697191','1330058250');
INSERT INTO `zhiyezhuang_tagindex` VALUES('549','西服图片','0','5','1','0','3','1339732450','1337740138','1329268603');
INSERT INTO `zhiyezhuang_tagindex` VALUES('550','酒吧','0','6','1','0','2','1338621789','1337403597','1329268639');
INSERT INTO `zhiyezhuang_tagindex` VALUES('551','美容美发','0','10','1','0','0','1340954580','1340954580','1329268639');
INSERT INTO `zhiyezhuang_tagindex` VALUES('552','专业生','0','2','1','0','0','1338622332','1338622332','1329268639');
INSERT INTO `zhiyezhuang_tagindex` VALUES('553','东方网—上海新闻-','0','0','1','0','0','1329394061','1329394061','1329394061');
INSERT INTO `zhiyezhuang_tagindex` VALUES('554','统计数据','0','9','1','0','0','1340430773','1340430773','1329394111');
INSERT INTO `zhiyezhuang_tagindex` VALUES('555','数据统计分析','0','3','1','1','2','1339707848','1337605208','1329394111');
INSERT INTO `zhiyezhuang_tagindex` VALUES('556','大悦','0','3','1','1','2','1339116776','1337536869','1329394179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('557','发布','0','5','2','0','0','1341688735','1341688735','1340070255');
INSERT INTO `zhiyezhuang_tagindex` VALUES('558','新品','0','2','1','0','0','1341916926','1341916926','1329394179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('559','尔顿','0','2','1','0','1','1339816644','1337403443','1329394179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('560','豪情芯生','0','1','1','0','0','1337483948','1337483948','1329394179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('561','2012','0','8','2','0','3','1340961529','1339042768','1331610868');
INSERT INTO `zhiyezhuang_tagindex` VALUES('562','汉米','0','4','1','1','1','1339116899','1339116899','1329394179');
INSERT INTO `zhiyezhuang_tagindex` VALUES('563','金山','0','2','1','0','1','1339816685','1337749152','1329434457');
INSERT INTO `zhiyezhuang_tagindex` VALUES('564','服装/','0','0','1','0','0','1329434457','1329434457','1329434457');
INSERT INTO `zhiyezhuang_tagindex` VALUES('565','对象','0','7','1','0','0','1341819056','1341819056','1329462271');
INSERT INTO `zhiyezhuang_tagindex` VALUES('566','实例','0','2','1','0','1','1338622111','1337508147','1329462271');
INSERT INTO `zhiyezhuang_tagindex` VALUES('567','设置','0','18','1','0','4','1341877180','1339731861','1329462271');
INSERT INTO `zhiyezhuang_tagindex` VALUES('568','引用','0','3','1','0','0','1335657576','1335657576','1329462271');
INSERT INTO `zhiyezhuang_tagindex` VALUES('569','未将','0','3','1','0','2','1339117236','1337696891','1329462271');
INSERT INTO `zhiyezhuang_tagindex` VALUES('570','实惠','0','3','1','1','1','1338622107','1338622107','1329462316');
INSERT INTO `zhiyezhuang_tagindex` VALUES('571','海淀','0','9','3','2','3','1339460812','1338621730','1330492884');
INSERT INTO `zhiyezhuang_tagindex` VALUES('572','哪家','0','8','1','2','3','1341478675','1340869141','1329462316');
INSERT INTO `zhiyezhuang_tagindex` VALUES('573','022-58','0','0','1','0','0','1329466449','1329466449','1329466449');
INSERT INTO `zhiyezhuang_tagindex` VALUES('574','北京时尚','0','7','1','0','0','1341644673','1341644673','1329469110');
INSERT INTO `zhiyezhuang_tagindex` VALUES('575','北京工作服厂家','0','4','2','0','1','1341690686','1340432636','1330054347');
INSERT INTO `zhiyezhuang_tagindex` VALUES('576','工作服加工哪家好','0','9','1','0','0','1341645566','1341645566','1329626289');
INSERT INTO `zhiyezhuang_tagindex` VALUES('577','工作服定做加工','0','4','1','1','1','1341645540','1341645540','1329626289');
INSERT INTO `zhiyezhuang_tagindex` VALUES('578','站台','0','2','2','1','1','1338282402','1338282402','1330435598');
INSERT INTO `zhiyezhuang_tagindex` VALUES('579','商业','0','7','2','0','0','1341689321','1341689321','1330451271');
INSERT INTO `zhiyezhuang_tagindex` VALUES('580','合作','0','3','1','1','2','1339116903','1337493715','1329626347');
INSERT INTO `zhiyezhuang_tagindex` VALUES('581','箱包','0','10','4','1','2','1339707919','1339034537','1330493378');
INSERT INTO `zhiyezhuang_tagindex` VALUES('582','鞋帽','0','24','5','2','3','1341650830','1341028916','1330493378');
INSERT INTO `zhiyezhuang_tagindex` VALUES('583','南开','0','6','2','1','2','1338621879','1337522621','1329626490');
INSERT INTO `zhiyezhuang_tagindex` VALUES('584','周边','0','3','1','1','2','1338622324','1337403461','1329626490');
INSERT INTO `zhiyezhuang_tagindex` VALUES('585','[北京职业装','0','0','1','0','0','1329626560','1329626560','1329626560');
INSERT INTO `zhiyezhuang_tagindex` VALUES('586','北京衬衫','0','3','1','1','1','1339116614','1339116614','1329626560');
INSERT INTO `zhiyezhuang_tagindex` VALUES('587','北京帽子','0','6','1','0','1','1341226670','1339116654','1329626560');
INSERT INTO `zhiyezhuang_tagindex` VALUES('588','北京棉服','0','2','2','0','1','1339707459','1337725711','1330008897');
INSERT INTO `zhiyezhuang_tagindex` VALUES('589','北京羽绒服 ]','0','0','1','0','0','1329626560','1329626560','1329626560');
INSERT INTO `zhiyezhuang_tagindex` VALUES('590','颜色','0','3','4','1','2','1338507169','1337507990','1330492750');
INSERT INTO `zhiyezhuang_tagindex` VALUES('591','原来','0','5','1','0','0','1340363125','1340363125','1329626617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('592','工作服价格','0','3','2','1','1','1339241130','1339241130','1330011925');
INSERT INTO `zhiyezhuang_tagindex` VALUES('593','北京文化衫','0','2','1','0','0','1341916528','1341916528','1329627008');
INSERT INTO `zhiyezhuang_tagindex` VALUES('594','加工职业装订做','0','2','1','0','1','1339116925','1337493623','1329627054');
INSERT INTO `zhiyezhuang_tagindex` VALUES('595','荣易顺发服饰公司','0','3','1','0','1','1340691354','1339117054','1329627054');
INSERT INTO `zhiyezhuang_tagindex` VALUES('596','北京手机/配件/号码网','0','0','1','0','0','1329627167','1329627167','1329627167');
INSERT INTO `zhiyezhuang_tagindex` VALUES('597','北京手机/','0','0','1','0','0','1329627167','1329627167','1329627167');
INSERT INTO `zhiyezhuang_tagindex` VALUES('598','领导','0','2','1','0','0','1339116971','1339116971','1329627194');
INSERT INTO `zhiyezhuang_tagindex` VALUES('599','制服/','0','0','1','0','0','1329627221','1329627221','1329627221');
INSERT INTO `zhiyezhuang_tagindex` VALUES('600','劳保用品','0','3','1','0','0','1341916824','1341916824','1329627410');
INSERT INTO `zhiyezhuang_tagindex` VALUES('601','工作服加工','0','2','1','0','1','1339707609','1338051541','1329627410');
INSERT INTO `zhiyezhuang_tagindex` VALUES('602','磁性白板','0','4','1','0','1','1339707515','1337822437','1329627410');
INSERT INTO `zhiyezhuang_tagindex` VALUES('603','上海T恤','0','2','1','0','0','1339731805','1339731805','1329627898');
INSERT INTO `zhiyezhuang_tagindex` VALUES('604','上海西装','0','2','1','0','1','1339707826','1337878865','1329627898');
INSERT INTO `zhiyezhuang_tagindex` VALUES('605','订做上海促销服','0','2','1','0','0','1341916650','1341916650','1329627898');
INSERT INTO `zhiyezhuang_tagindex` VALUES('606','上海西服','0','3','2','0','0','1341643539','1341643539','1330054810');
INSERT INTO `zhiyezhuang_tagindex` VALUES('607','上海广告衫','0','3','1','1','1','1339117113','1339117113','1329627898');
INSERT INTO `zhiyezhuang_tagindex` VALUES('608','铁路','0','1','1','0','0','1337493785','1337493785','1329627997');
INSERT INTO `zhiyezhuang_tagindex` VALUES('609','天津茶楼工作','0','9','1','0','0','1341916891','1341916891','1329628056');
INSERT INTO `zhiyezhuang_tagindex` VALUES('610','南开商务服','0','7','1','1','3','1339707764','1337562321','1329628079');
INSERT INTO `zhiyezhuang_tagindex` VALUES('611','北京职业装销售招聘','0','3','1','1','2','1339116689','1337551297','1329628209');
INSERT INTO `zhiyezhuang_tagindex` VALUES('612','唐山','0','2','1','0','0','1339707865','1339707865','1329628329');
INSERT INTO `zhiyezhuang_tagindex` VALUES('613','秦皇岛','0','3','1','1','1','1339117036','1339117036','1329628329');
INSERT INTO `zhiyezhuang_tagindex` VALUES('614','中国职业装','0','6','1','0','0','1339708017','1339708017','1329628366');
INSERT INTO `zhiyezhuang_tagindex` VALUES('615','纺织原料','0','5','4','0','0','1339707572','1339707572','1335892616');
INSERT INTO `zhiyezhuang_tagindex` VALUES('616','化纤','0','5','4','0','0','1339707663','1339707663','1335892617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('617','纱线','0','6','4','0','0','1341643421','1341643421','1335892617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('618','坯布','0','6','4','0','2','1340362462','1338621927','1335892617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('619','无纺布','0','10','4','1','3','1339707897','1339080857','1335892617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('620','染整','0','7','4','2','2','1338568732','1338568732','1335892617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('621','家纺','0','10','4','0','3','1339707686','1338906910','1335892617');
INSERT INTO `zhiyezhuang_tagindex` VALUES('622','上海88工作服网','0','5','1','0','0','1341916870','1341916870','1329628677');
INSERT INTO `zhiyezhuang_tagindex` VALUES('623','88工作服网','0','4','1','0','2','1339813478','1339117369','1329628677');
INSERT INTO `zhiyezhuang_tagindex` VALUES('624','服装定制','0','3','1','0','0','1340697245','1340697245','1329628677');
INSERT INTO `zhiyezhuang_tagindex` VALUES('625','企业博客','0','3','1','1','2','1339707797','1337508003','1329628677');
INSERT INTO `zhiyezhuang_tagindex` VALUES('626','职业博客','0','3','1','0','1','1341916981','1340865699','1329628677');
INSERT INTO `zhiyezhuang_tagindex` VALUES('627','天津滨海国际机场工','0','5','1','1','1','1339553511','1339553511','1329628724');
INSERT INTO `zhiyezhuang_tagindex` VALUES('628','天津美度服饰有限公司','0','7','1','0','0','1341350212','1341350212','1329628747');
INSERT INTO `zhiyezhuang_tagindex` VALUES('629','毛衣、服','0','3','1','1','2','1339116978','1337634032','1329628785');
INSERT INTO `zhiyezhuang_tagindex` VALUES('630','天津工作服.工服工装','0','6','1','0','0','1340678295','1340678295','1329628809');
INSERT INTO `zhiyezhuang_tagindex` VALUES('631','中石化','0','4','2','0','0','1339816897','1339816897','1330492750');
INSERT INTO `zhiyezhuang_tagindex` VALUES('632','起来','0','4','1','1','1','1338621979','1338621979','1329629135');
INSERT INTO `zhiyezhuang_tagindex` VALUES('633','经营 天津职业装','0','3','1','0','0','1340292092','1340292092','1329629374');
INSERT INTO `zhiyezhuang_tagindex` VALUES('634','天','0','15','2','0','0','1341877207','1341877207','1330163632');
INSERT INTO `zhiyezhuang_tagindex` VALUES('635','13366','0','3','1','0','0','1340854094','1340854094','1329629502');
INSERT INTO `zhiyezhuang_tagindex` VALUES('636','秋季','0','8','1','0','0','1340362591','1340362591','1329629502');
INSERT INTO `zhiyezhuang_tagindex` VALUES('637','青浦','0','7','1','0','3','1339731357','1337183605','1329629642');
INSERT INTO `zhiyezhuang_tagindex` VALUES('638','嘉定','0','2','2','0','1','1338621758','1337922184','1330339647');
INSERT INTO `zhiyezhuang_tagindex` VALUES('639','厂服','0','2','1','0','0','1338621579','1338621579','1329629689');
INSERT INTO `zhiyezhuang_tagindex` VALUES('640','定做订制工作服','0','4','1','1','2','1340691622','1339116787','1329629689');
INSERT INTO `zhiyezhuang_tagindex` VALUES('641','长袖夹克','0','3','1','1','0','1339816316','1340361277','1329629689');
INSERT INTO `zhiyezhuang_tagindex` VALUES('642','上海工作服(图)','0','0','1','0','0','1329629689','1329629689','1329629689');
INSERT INTO `zhiyezhuang_tagindex` VALUES('643','天津工作服加工厂(图)','0','0','1','0','0','1329629735','1329629735','1329629735');
INSERT INTO `zhiyezhuang_tagindex` VALUES('644','男装','0','5','3','0','1','1338621891','1337605169','1341277782');
INSERT INTO `zhiyezhuang_tagindex` VALUES('645','男装批发','0','3','1','0','1','1341916842','1340866154','1329630519');
INSERT INTO `zhiyezhuang_tagindex` VALUES('646','男装加盟','0','4','1','0','1','1339117003','1337565691','1329630519');
INSERT INTO `zhiyezhuang_tagindex` VALUES('647','男装厂','0','3','1','1','2','1338621887','1337590753','1329630519');
INSERT INTO `zhiyezhuang_tagindex` VALUES('648','男装批发网','0','4','1','0','0','1340521522','1340521522','1329630519');
INSERT INTO `zhiyezhuang_tagindex` VALUES('649','外贸男装','0','9','1','1','2','1339707891','1338506808','1329630519');
INSERT INTO `zhiyezhuang_tagindex` VALUES('650','韩版','0','2','2','0','0','1340697286','1340697286','1330491787');
INSERT INTO `zhiyezhuang_tagindex` VALUES('651','中文','0','3','1','1','2','1338507480','1337508076','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('652','最大','0','3','1','1','1','1338622345','1338622345','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('653','音频','0','2','1','0','0','1338622248','1338622248','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('654','门户','0','5','1','0','1','1340362177','1338621849','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('655','全球','0','6','1','1','2','1339707808','1337551310','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('656','主办','0','7','1','1','2','1338622328','1338008303','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('657','广播网','0','4','1','0','0','1339707631','1339707631','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('658','中央','0','5','1','0','0','1338622316','1338622316','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('659','人民','0','5','1','0','1','1338622041','1337484034','1329630544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('660','卡奇','0','6','2','1','1','1338621801','1338621801','1330060539');
INSERT INTO `zhiyezhuang_tagindex` VALUES('661','澶╂触瑗挎湇淇冮攢','0','12','2','0','2','1340694197','1339708044','1330111702');
INSERT INTO `zhiyezhuang_tagindex` VALUES('662','鎶樻墸','0','4','2','1','1','1334912337','1334912337','1330111702');
INSERT INTO `zhiyezhuang_tagindex` VALUES('663','涔拌禒','0','13','2','0','2','1341699240','1339708042','1330111702');
INSERT INTO `zhiyezhuang_tagindex` VALUES('664','彂甯','0','2','1','0','0','1339116585','1339116585','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('665','鏈哄','0','8','1','1','2','1339708046','1337928267','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('666','冨紩','0','5','1','0','0','1339116583','1339116583','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('667','www.tz1288.c','0','2','1','0','0','1338622376','1338622376','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('668','藉晢','0','3','1','0','0','1341645986','1341645986','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('669','涓鍥','0','5','1','1','2','1339117361','1337576328','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('670','満鍒','0','5','1','0','3','1339707431','1337522592','1329917398');
INSERT INTO `zhiyezhuang_tagindex` VALUES('671','北京服装加工厂','0','4','1','0','0','1339707444','1339707444','1329917421');
INSERT INTO `zhiyezhuang_tagindex` VALUES('672','北京华盛','0','3','1','1','2','1339116647','1337507992','1329917421');
INSERT INTO `zhiyezhuang_tagindex` VALUES('673','纺织品','2','2','1','0','1','1339707570','1337711295','1329917478');
INSERT INTO `zhiyezhuang_tagindex` VALUES('674','工作服 工装 职业装','0','9','1','1','3','1341345555','1339116869','1329917517');
